PG.ProteinAccessions,PG.Genes,PG.ProteinDescriptions,PG.ProteinNames,Control_R1.raw.PG.Quantity,Control_R1.raw.PG.NrOfPrecursorsMeasured,Control_R1.raw.PG.NrOfStrippedSequencesIdentified,Control_R2.raw.PG.Quantity,Control_R2.raw.PG.NrOfPrecursorsMeasured,Control_R2.raw.PG.NrOfStrippedSequencesIdentified,Control_R3.raw.PG.Quantity,Control_R3.raw.PG.NrOfPrecursorsMeasured,Control_R3.raw.PG.NrOfStrippedSequencesIdentified,TreatmentA_R1.raw.PG.Quantity,TreatmentA_R1.raw.PG.NrOfPrecursorsMeasured,TreatmentA_R1.raw.PG.NrOfStrippedSequencesIdentified,TreatmentA_R2.raw.PG.Quantity,TreatmentA_R2.raw.PG.NrOfPrecursorsMeasured,TreatmentA_R2.raw.PG.NrOfStrippedSequencesIdentified,TreatmentA_R3.raw.PG.Quantity,TreatmentA_R3.raw.PG.NrOfPrecursorsMeasured,TreatmentA_R3.raw.PG.NrOfStrippedSequencesIdentified,TreatmentB_R1.raw.PG.Quantity,TreatmentB_R1.raw.PG.NrOfPrecursorsMeasured,TreatmentB_R1.raw.PG.NrOfStrippedSequencesIdentified,TreatmentB_R2.raw.PG.Quantity,TreatmentB_R2.raw.PG.NrOfPrecursorsMeasured,TreatmentB_R2.raw.PG.NrOfStrippedSequencesIdentified,TreatmentB_R3.raw.PG.Quantity,TreatmentB_R3.raw.PG.NrOfPrecursorsMeasured,TreatmentB_R3.raw.PG.NrOfStrippedSequencesIdentified,PG.Log2FC,PG.Pvalue
P00011,GENE0011,Protein description 11,GENE0011_HUMAN,158708.47485049386,7,2,137291.38764594073,9,1,151365.35377303034,7,2,138368.1722738979,7,1,190217.76879303952,7,2,188731.0582243202,8,2,112089.13537576138,8,1,137176.7176185961,7,1,153672.70771419388,9,1,0.19694689570226132,0.2941305744436105
P00012,GENE0012,Protein description 12,GENE0012_HUMAN,123259.83733042769,10,1,111341.15955266991,10,1,110481.87773984142,11,2,131212.18611763365,10,2,131912.445464812,12,1,138267.2225807023,11,1,108797.1087719537,11,2,122992.28260285791,11,1,107206.73480492123,11,1,0.21948068061173842,0.017515104517830886
P00013,GENE0013,Protein description 13,GENE0013_HUMAN,32888.918356314985,5,7,39410.456247642825,5,7,38883.73979374123,7,6,32536.264296348993,5,6,51167.078848926045,6,6,46414.90932319521,6,6,32952.23572912471,6,6,29660.044296539738,5,6,32770.10971036025,6,7,0.20550193036232223,0.3942881662981509
P00014,GENE0014,Protein description 14,GENE0014_HUMAN,266817.3019487014,13,3,216027.31609236152,13,3,266328.37556144845,13,3,283624.9977230777,12,3,249251.25411366473,13,4,244438.13169872662,13,3,223862.0565009983,12,4,211135.57340063198,12,3,213700.59037929997,12,3,0.05692756587464132,0.6636982112682891
P00015,GENE0015,Protein description 15,GENE0015_HUMAN,67954.6201621456,6,5,66036.76917224229,6,5,85101.22523684596,4,6,91518.87430969441,4,6,89879.79082311175,5,5,92154.60246047762,4,6,64997.66356674019,5,5,76412.65291512248,5,5,66214.51068575967,6,5,0.3297004034884239,0.046994205202759175
P00016,GENE0016,Protein description 16,GENE0016_HUMAN,7652.985476013397,4,7,8045.251173399692,4,7,7986.639046207039,3,7,10251.780087535444,2,8,8560.412715941105,2,8,9033.629578842423,3,8,5535.7358761859705,2,8,6138.270833585942,2,8,6294.416380472821,3,7,0.22968000186132187,0.0459344197793165
P00017,GENE0017,Protein description 17,GENE0017_HUMAN,52517.189743545576,10,2,54012.1372455574,10,2,51931.95864424576,10,2,64409.46473254112,9,3,90531.16368563137,8,3,79441.60367513193,9,3,48420.74739549491,9,3,59284.31711190349,8,3,52932.9779111831,10,2,0.5509619850398906,0.018696686205370416
P00018,GENE0018,Protein description 18,GENE0018_HUMAN,5031.407350196919,7,6,6137.649948376268,7,7,7056.162114268026,7,7,,8,7,6367.01369054354,8,7,6484.969232779087,7,7,4469.885377748163,9,7,5840.975506789726,8,6,5850.015649843323,7,7,0.09468094131152505,0.640676449493107
P00019,GENE0019,Protein description 19,GENE0019_HUMAN,142076.21502998003,10,2,129461.15496786407,10,2,132766.94794965343,9,3,159396.66798412148,10,3,188303.95289049248,8,3,165732.9238971879,8,2,90912.45585323851,9,3,140841.0784735873,9,2,145270.49216653622,9,3,0.3421548733321096,0.014541255198110796
P00020,GENE0020,Protein description 20,GENE0020_HUMAN,26358.648045009886,3,6,39375.153325596846,1,7,35260.73036006808,2,6,,2,6,34498.79326857025,2,7,32326.691073822058,3,7,28304.220620442957,3,6,27993.553673001257,2,7,34259.59198504445,3,6,0.008427779099333677,0.9725559714535877
P00021,GENE0021,Protein description 21,GENE0021_HUMAN,30036.960841308963,6,2,23229.753300572713,7,2,,6,3,24796.44298392718,8,3,35956.60281193696,7,3,30149.89342123627,8,3,27437.98782121291,7,3,22050.55835205363,6,3,24886.809140411424,6,3,0.18149126192737164,0.5093453635441866
P00022,GENE0022,Protein description 22,GENE0022_HUMAN,9013.836466534789,4,4,10375.946501528791,3,4,10299.76144862271,4,3,10223.619859507884,4,4,13201.696109307182,2,4,,3,4,9932.70378221563,3,3,10238.092725557328,2,3,9717.069302808082,4,4,0.23429234627055173,0.2432084739399829
P00023,GENE0023,Protein description 23,GENE0023_HUMAN,348317.37015126675,13,4,238290.8210650516,13,5,243874.15858603932,12,4,290820.7240154633,12,4,326304.1197567441,12,5,311254.8980818497,11,5,244234.24972025715,13,5,200888.61397361226,11,4,263855.32565434126,12,4,0.181727042406159,0.3785149161032077
P00024,GENE0024,Protein description 24,GENE0024_HUMAN,,3,5,24251.14350391847,3,4,26208.782681418325,4,4,29003.79709758563,3,5,43172.84666205429,4,4,27577.849161958176,3,4,22317.699732515324,2,4,20260.319028266305,3,4,27876.09426671418,2,5,0.3692404228209494,0.26104651882015073
P00025,GENE0025,Protein description 25,GENE0025_HUMAN,14447.88985931897,14,1,14873.067883494781,13,2,15336.45308862572,14,1,20804.409276721297,13,2,18411.49945595207,15,1,18720.562325203857,15,1,10810.032303362255,14,1,13770.316793949642,13,2,15599.808628749546,13,2,0.3738647644832067,0.003491333997271115
P00026,GENE0026,Protein description 26,GENE0026_HUMAN,16828.503151554196,3,7,24402.00226341664,1,6,17149.6345277949,2,7,20130.282988889063,3,7,16035.327056005404,2,6,18158.840830696063,1,7,12764.277708313228,2,6,15009.362199893838,2,7,17738.66739097673,1,6,-0.08826362562273538,0.6795194289279916
P00027,GENE0027,Protein description 27,GENE0027_HUMAN,77999.6763660816,8,2,90033.02069480429,9,2,82962.92189430453,10,1,18251.69336419533,10,1,,8,2,13693.070648089843,8,1,70236.35879647857,8,2,84981.47549645779,8,1,60978.294266552664,9,1,-2.4013915263072487,0.0008067037182507144
P00028,GENE0028,Protein description 28,GENE0028_HUMAN,67564.0210224579,7,8,57186.00185652161,7,8,49310.61726454581,7,8,53261.77060618776,6,7,69285.95182816964,7,8,77861.20834691754,6,7,59569.40175061809,5,8,45614.12710849747,5,7,57227.50787945235,5,7,0.19758414758543985,0.3969537791414023
P00029,GENE0029,Protein description 29,GENE0029_HUMAN,52987.79989050692,2,3,73434.3753213426,4,2,61706.59848325374,3,2,73051.12956440347,3,2,73696.95336526385,3,3,80435.83110987721,3,2,61377.02476572315,2,3,57119.50192324956,4,3,58643.39111222858,4,2,0.2836031049199388,0.1184633782142139
P00030,GENE0030,Protein description 30,GENE0030_HUMAN,51562.30332056877,7,6,62732.2966177166,7,5,66285.9841307466,6,6,80612.5810848766,5,6,69955.29504784719,7,6,60130.114264728814,6,6,67700.95986300931,5,5,68673.22913013907,6,6,54937.61357070872,7,5,0.22043234484718077,0.2508770760189813
P00031,GENE0031,Protein description 31,GENE0031_HUMAN,1089025.840851151,1,5,1145954.5342770019,1,6,1373378.4554248003,3,5,1277898.2537594798,2,6,1390763.1112947648,1,5,1490364.301970113,1,6,1360082.756367168,1,5,986705.6432878333,2,6,957502.3571063841,1,5,0.20933249100519546,0.1563578804251731
P00032,GENE0032,Protein description 32,GENE0032_HUMAN,15805.882787960256,12,4,17685.132274754225,11,5,13603.90106284702,12,5,21923.098063520974,10,5,14192.641695842069,10,5,21244.0783398998,12,4,165692.3868774052,11,5,126629.28271148211,10,4,163378.83220701205,11,5,0.26587884794918537,0.31167157035007065
P00033,GENE0033,Protein description 33,GENE0033_HUMAN,12789.065427636895,13,5,14547.676497377093,13,5,14110.008473005973,14,5,13114.597353295732,12,4,19521.502930965664,12,4,16374.099581971128,13,5,12058.205922581934,12,5,13905.313704470573,12,5,12063.28796128334,14,4,0.22507825712889762,0.26837311378033235
P00034,GENE0034,Protein description 34,GENE0034_HUMAN,7975.256323490679,6,2,9967.557831019416,7,2,8135.5876891442185,5,2,9819.154457856102,5,2,8481.269365615788,7,2,7589.553772555355,7,2,6451.784889976963,6,1,6558.724401552695,7,1,7877.694629078942,6,1,-0.011041152254984254,0.9444152496849751
P00035,GENE0035,Protein description 35,GENE0035_HUMAN,85961.4013025403,7,8,97584.47721041863,6,7,71497.78499496171,6,8,104469.92523853529,7,7,109063.6515268881,8,7,96621.62571264146,8,8,75903.32932689211,6,8,101914.01832483096,8,7,66556.66658263755,6,8,0.2920737117465997,0.10520195779103599
P00036,GENE0036,Protein description 36,GENE0036_HUMAN,242590.86143228936,2,2,216098.25504827694,4,1,241843.6462991283,2,1,296612.36440332246,3,2,271709.79916117544,4,1,291169.6716698438,3,2,164010.0936105582,4,2,184689.9837589082,2,2,228170.44263895354,2,1,0.2960727214462828,0.011544367647112964
P00037,GENE0037,Protein description 37,GENE0037_HUMAN,34391.32254634218,9,5,30245.662041781634,7,6,25934.68416051273,8,5,42038.80863042006,8,5,29391.69830781603,8,5,30725.940433251082,8,5,26353.63592318493,9,6,22843.89372588987,9,6,20459.98230140653,8,5,0.1643106793969693,0.45879416187124483
P00038,GENE0038,Protein description 38,GENE0038_HUMAN,7819.489125646772,15,2,7559.448796981293,14,1,8377.98245762042,13,1,7272.484704639623,15,1,9183.306148068043,13,1,8764.355439955141,15,1,7105.814516707354,13,2,5805.857096548292,15,1,7631.50763855419,15,1,0.08038391090397923,0.5115366451308042
P00039,GENE0039,Protein description 39,GENE0039_HUMAN,,8,7,6942.708461731811,9,7,6928.264371877992,9,6,9599.252305412174,8,6,9463.556392914476,7,6,9515.580198081541,9,7,5546.998724996977,9,7,7414.035443310106,9,7,8065.685909291437,7,7,0.45786908380477165,1.090183429834966e-05
P00040,GENE0040,Protein description 40,GENE0040_HUMAN,92025.04498784083,12,4,91850.63919166214,14,3,102444.64052380474,14,4,91116.4604834326,14,4,124898.02095685365,12,3,109732.63564673315,14,4,1084552.1140278701,12,4,928864.6023520937,13,4,1134109.0719367566,12,4,0.17607408599328878,0.28254043806318774
P00041,GENE0041,Protein description 41,GENE0041_HUMAN,107093.8909992734,13,5,106818.85093279503,12,5,112057.96085622718,11,4,148709.10372046614,11,4,134003.21788546268,11,5,153057.4539201808,13,4,93875.87694082299,12,5,106912.94371016628,13,4,92809.90792042627,11,4,0.41684877317903,0.002614495145166518
P00042,GENE0042,Protein description 42,GENE0042_HUMAN,91665.32393370941,3,1,100193.0358101161,3,2,79021.02397063524,4,1,94006.3948931288,2,1,98998.63763826122,4,2,83602.50115404044,2,2,83066.36130480615,3,1,73680.33053771107,2,1,73396.45223959633,2,2,0.03346357586556081,0.7993851969704833
P00043,GENE0043,Protein description 43,GENE0043_HUMAN,9744.448416646364,3,3,8972.630322260713,3,2,9002.176702032524,2,3,12456.266376228545,2,2,10239.582842911777,3,2,13679.24850150291,2,3,7737.869121530598,2,3,,2,3,8258.432955015924,3,3,0.38280550761885834,0.0413465426407051
P00044,GENE0044,Protein description 44,GENE0044_HUMAN,52187.27923317246,5,5,51599.252824403455,6,4,51143.60995537557,5,5,49607.284998142866,5,5,47278.9201862702,7,5,59503.726354634106,6,4,49577.61018052824,7,5,46784.78199028078,5,5,40346.10657857624,7,4,0.006375581409434616,0.952877503047596
P00045,GENE0045,Protein description 45,GENE0045_HUMAN,43010.10104156439,14,6,42713.98556500548,14,7,39975.15509850171,13,7,45953.38635694397,15,7,61193.61185783195,15,7,65072.01407052321,14,6,37901.40871760452,15,7,35143.9137766127,15,7,32184.472308755914,13,6,0.4390339234597125,0.050122484309860535
P00046,GENE0046,Protein description 46,GENE0046_HUMAN,36369.817320735594,4,5,53876.31706797413,3,5,43754.06461493079,3,5,53341.664080700226,3,6,60447.543251686955,5,6,48808.06954742471,3,5,37779.79051779397,4,6,,5,5,43042.012708967464,5,6,0.29208542423080175,0.19258750724438567
P00047,GENE0047,Protein description 47,GENE0047_HUMAN,122916.08154211605,3,2,153378.2036035666,3,2,156961.53075770134,2,2,215821.4414482779,3,2,178620.92902404195,1,3,172285.54643227762,1,2,30298.565067609237,1,2,32991.82705370342,1,2,31420.830071759738,1,2,0.3887876104327219,0.061668748677493626
P00048,GENE0048,Protein description 48,GENE0048_HUMAN,43158.597835307606,13,5,47203.0233474158,15,5,49892.459391738885,13,6,56500.649127168035,15,6,54678.73541782025,13,6,51404.500277917636,13,6,48634.23278211436,14,5,40793.69904714602,14,5,49538.320969929446,14,5,0.21459764638716017,0.042203454790887246
P00049,GENE0049,Protein description 49,GENE0049_HUMAN,97881.31094122634,4,3,90528.03702589618,4,3,99341.70022472664,3,3,102701.60749975684,4,2,112222.72600245953,3,2,134392.14209210718,3,2,99329.418792459,4,3,98643.69583526376,4,2,88055.16793843072,4,3,0.271753054171878,0.08892500223233252
P00050,GENE0050,Protein description 50,GENE0050_HUMAN,,7,5,31945.260096763806,5,5,39652.40463556079,7,4,48920.66517545908,5,4,41336.58930995154,7,4,50336.56694125421,7,4,32746.176250990215,5,5,24537.45673380798,7,5,37627.16971233744,7,4,0.3916516121189133,0.09578263735050753
P00051,GENE0051,Protein description 51,GENE0051_HUMAN,45484.47688383599,12,4,58623.039309675456,11,5,51454.923564475466,12,5,67890.86485742798,12,4,57779.968286793766,13,5,64918.1222697967,12,5,37780.766502611325,13,5,51076.24231526167,12,4,53049.43258362638,13,4,0.29741899631527424,0.07827363916070192
P00052,GENE0052,Protein description 52,GENE0052_HUMAN,83936.34860049398,3,3,101776.70612588261,2,3,73209.44123722361,3,3,133731.79241783952,3,2,108561.37878027247,4,2,132776.06798299088,4,2,88086.48208770627,3,3,87026.48555163229,4,3,91164.45953405836,2,2,0.5413239767980826,0.03309856567589243
P00053,GENE0053,Protein description 53,GENE0053_HUMAN,2480.6347037456553,3,2,2741.3359614932315,3,3,2764.031397837379,3,3,3274.4985256217524,4,2,2587.091314188936,4,3,3111.5010738436245,5,3,2258.581238221596,5,3,2292.791522481445,4,2,2083.8827398626795,4,3,0.16261775008652357,0.22953116875458268
P00054,GENE0054,Protein description 54,GENE0054_HUMAN,24718.000260972054,11,4,16376.66820662236,11,5,17307.72707972617,11,5,22667.27856486868,10,4,19432.938223424462,10,4,20473.967451668348,12,5,17223.64910936337,12,4,14083.576213037319,10,5,15701.441576204665,10,5,0.12142858513222521,0.571368540172718
P00055,GENE0055,Protein description 55,GENE0055_HUMAN,17383.94942427419,3,6,16023.827207494702,2,6,13190.825900509348,2,5,16458.57859632252,1,5,16513.77733569786,2,6,15741.790325897231,3,5,13998.421129957638,1,6,12341.204717612216,3,6,11469.040100282074,1,5,0.07319999490798779,0.5754496033082211
P00056,GENE0056,Protein description 56,GENE0056_HUMAN,10071.543188567399,11,7,12209.555987880854,11,8,11456.301092096752,10,7,14241.402431471992,12,7,14482.559825826329,10,8,13669.961082298061,11,8,,10,7,1487.7552558934387,11,8,1478.7999268969872,10,8,0.3336600596596515,0.017405837515396184
P00057,GENE0057,Protein description 57,GENE0057_HUMAN,20698.825410324396,8,4,23375.585153306034,10,5,25633.531422440257,9,4,24855.037523545714,8,5,23132.19035159987,8,5,27637.079921927845,8,4,19353.83643320755,8,5,21337.568633859053,8,5,14034.627234120713,10,4,0.11915390791459401,0.3637120806013333
P00058,GENE0058,Protein description 58,GENE0058_HUMAN,381517.37980213645,5,5,508216.21628945525,4,4,390993.85776714503,4,4,544585.6430203733,5,4,395302.08468749805,5,5,490748.72828608664,4,4,405540.53620834515,5,4,352577.61415389855,5,5,342721.0898098648,4,4,0.15958730260891585,0.4479748565016358
P00059,GENE0059,Protein description 59,GENE0059_HUMAN,5867.510975286559,9,5,8194.407333957404,10,4,6830.31196215847,10,4,,10,4,8685.901469550405,8,4,8920.632181066154,9,4,7051.357025557656,9,4,5894.370550949837,8,4,7248.478301137339,10,5,0.3514641981569575,0.14653101379262296
P00060,GENE0060,Protein description 60,GENE0060_HUMAN,174592.59691990083,7,7,175410.1695550273,5,7,151300.21577543582,7,8,197800.8394030442,5,8,191862.04967982465,7,8,203462.2138636797,5,8,166634.6776800208,5,7,153143.90107172125,7,7,152695.61065874246,7,7,0.2455799958164775,0.029610567080154387
P00061,GENE0061,Protein description 61,GENE0061_HUMAN,1798.7842500593015,13,3,1735.3605487671675,14,3,1996.0088222378395,15,4,1990.39847013456,15,4,2351.2037321062344,15,4,1666.6159579404516,13,4,1836.9581500772724,14,3,1366.2607025785637,15,3,1378.9623124636817,15,4,0.10800094791797044,0.5258364654876713
P00062,GENE0062,Protein description 62,GENE0062_HUMAN,16566.99386892784,8,4,16819.136525070553,8,3,,7,3,22252.827598815984,7,3,20793.542321879326,6,4,,6,4,15924.881780493826,6,4,16623.193315981047,7,4,16191.89897877204,7,3,0.3658543662591285,0.018258775015060298
P00063,GENE0063,Protein description 63,GENE0063_HUMAN,38801.840750543066,12,4,50092.264921699825,12,4,34102.83121923531,12,3,53813.210896364006,11,3,52134.83179162019,10,3,48514.696366650394,10,3,42261.37202189361,12,3,38749.82121449082,12,3,33314.73800379152,12,4,0.3460084505026835,0.10983432386147542
P00064,GENE0064,Protein description 64,GENE0064_HUMAN,73321.18812096477,6,5,98164.0267325887,5,6,89528.20044970572,4,5,94583.00968431545,6,6,90838.55797713382,6,5,102361.3460070255,5,6,77862.67230272613,6,6,87627.65030180206,6,6,82512.52628941953,5,5,0.1495727300719416,0.3273442322955939
P00065,GENE0065,Protein description 65,GENE0065_HUMAN,115865.2028760064,12,5,108482.4144329489,11,5,122088.39518696166,13,6,120938.1189005266,13,6,124662.3684219639,11,5,139469.00530569552,11,6,82762.94015008176,13,5,108134.84786994252,13,6,119408.80501803901,13,6,0.15146833024773443,0.13001032043891841
P00066,GENE0066,Protein description 66,GENE0066_HUMAN,150125.3215480921,5,5,141353.7065725802,5,5,109337.01835864624,4,5,128985.83253421681,5,4,171493.89530653588,4,5,143084.91664484015,5,5,118796.68834472039,5,4,120572.56707109197,5,5,115441.91004548653,6,4,0.14932748106789262,0.46399104506773964
P00067,GENE0067,Protein description 67,GENE0067_HUMAN,19345.024904511098,8,3,,8,3,14899.070914720267,7,2,19804.798191547467,7,3,23454.40625521956,9,3,21252.926593721713,9,2,15253.485193482287,9,2,14196.326610486709,9,3,12426.774602361209,8,2,0.33753102197493234,0.13731136473402916
P00068,GENE0068,Protein description 68,GENE0068_HUMAN,12971.967361894922,13,5,17982.402919160573,13,5,17185.811331056622,11,5,16927.16507023583,13,5,16508.892616976842,13,6,12996.980906437455,12,5,10598.611094490134,11,6,11869.256191383907,13,6,10938.409142596953,11,5,-0.0474802722383334,0.8159189137396803
P00069,GENE0069,Protein description 69,GENE0069_HUMAN,152357.14315683738,13,2,156005.11951290618,14,2,148884.70774939746,14,2,194113.94920194274,13,2,182344.1761372537,14,2,172849.960034342,15,2,137006.03657498118,15,3,113558.5660421431,14,2,135144.5273564047,13,2,0.2632806976720694,0.0072313577864874514
P00070,GENE0070,Protein description 70,GENE0070_HUMAN,21691.048233022306,11,8,24915.346471763147,12,8,24609.54238954056,10,7,4548.9317134773255,12,8,5969.699359224226,10,7,5250.036168320582,10,7,21195.743541574855,11,8,19837.5917619753,10,7,20079.142733981498,10,7,-2.1812077030030554,7.401361721792428e-05
P00071,GENE0071,Protein description 71,GENE0071_HUMAN,3770.41235161284,9,5,3996.4804158252973,11,6,4114.797900925512,9,5,27471.036384037572,10,5,18052.066777264612,11,6,,9,6,19399.156676486247,9,5,21122.37066846915,10,5,16673.76229515708,10,6,2.492207805904192,0.0016981679068659753
P00072,GENE0072,Protein description 72,GENE0072_HUMAN,,11,5,4889.250073225545,10,4,4599.943098117399,10,4,,11,4,5845.022983707648,12,5,5207.008666858533,10,5,4703.2027224373105,10,4,3824.11298797613,11,5,5480.258895723794,11,4,0.21821714661125746,0.14666366820833238
P00073,GENE0073,Protein description 73,GENE0073_HUMAN,5657.400530304539,8,2,7743.518255505272,8,3,6504.40495230802,6,3,7517.803530325049,8,3,7464.645277980271,7,2,7430.92685015538,8,3,4655.5031862937185,6,3,5951.238579837473,7,2,5443.643426905813,6,2,0.1831271631948539,0.23493184228133362
P00074,GENE0074,Protein description 74,GENE0074_HUMAN,76084.25552803116,11,6,72322.52347732277,10,7,78589.62014828654,11,6,77531.08064631342,11,7,97202.90482134864,10,6,99851.99591686706,9,7,57417.17201524423,10,7,76931.05920239528,9,7,76737.87194225368,11,6,0.26639457685114465,0.092287312080345
P00075,GENE0075,Protein description 75,GENE0075_HUMAN,41308.38951395793,8,6,42286.77359242697,9,6,44686.68590273536,8,6,43818.480116093095,8,6,48535.79366042857,9,5,46113.31965745203,10,5,41848.51646983392,8,5,39858.477102753786,10,5,31088.304641538154,8,5,0.10976189878640774,0.11309723705835859
P00076,GENE0076,Protein description 76,GENE0076_HUMAN,109269.40705052172,8,8,96600.48886105636,7,8,92225.73800487045,7,8,114730.82789448832,9,8,113576.09268520225,8,8,127340.07807855673,9,8,100434.77043037173,9,8,111053.76617266765,9,7,94665.94553444478,8,7,0.2564551888698219,0.04651487076769678
P00077,GENE0077,Protein description 77,GENE0077_HUMAN,14015.113969149952,5,5,14359.773745635961,6,5,17162.138049335532,5,5,16329.720896014753,6,5,24172.917466422,6,5,21628.379436056268,7,6,18311.76563552728,6,6,13458.585574075565,6,5,14494.042781772978,6,6,0.4351905069006836,0.0859814487103135
P00078,GENE0078,Protein description 78,GENE0078_HUMAN,51962.69238839137,6,7,50127.98952684327,6,7,44279.65095615383,6,6,,6,7,43744.10322288494,7,6,48216.394714273716,5,7,44153.75161832623,5,6,28398.721366807837,5,7,39472.09235523895,7,7,-0.08393930284208473,0.47998305713614753
P00079,GENE0079,Protein description 79,GENE0079_HUMAN,111728.28417154275,2,1,105174.67351972415,2,1,114680.25689048806,4,2,119344.54996608304,3,2,119102.10943513432,2,2,79874.19620739637,2,2,75815.18946698507,4,2,98531.71388722394,2,1,99672.7312405891,2,2,-0.08242192331285025,0.6959152053370883
P00080,GENE0080,Protein description 80,GENE0080_HUMAN,18968.284387440774,12,1,20015.96109995258,12,2,17536.59150617736,11,1,1313.1033732480646,12,2,1245.0030291773962,10,1,1051.8598828977456,10,1,17437.979816232026,11,1,15392.750044036871,12,2,17472.298032612653,12,1,-3.97294015120705,3.667497649095732e-06
